Id,SentenceA,SentenceB,Origin,Logic_label,Commonsense_label,SICK_original,monalog,gkr4nli,langpro,ccg2lambda_easyccg,ccg2lambda_candc
1,A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,SICK,N,N,N,N,N,N,N,N
2,A group of children is playing in the house and there is no man standing in the background,A group of kids is playing in a yard and an old man is standing in the background,SICK,C,C,C,N,N,C,C,C
3,The young boys are playing outdoors and the man is smiling nearby,The kids are playing outdoors near a man with a smile,SICK,E,E,E,N,N,N,N,N
4,The young boys are playing outdoors and the man is smiling nearby,There is no boy playing outdoors and there is no man smiling,SICK,C,C,C,N,C,C,C,C
5,The kids are playing outdoors near a man with a smile,A group of kids is playing in a yard and an old man is standing in the background,SICK,N,N,N,N,N,N,N,N
6,There is no boy playing outdoors and there is no man smiling,A group of kids is playing in a yard and an old man is standing in the background,SICK,C,C,N,N,N,Exception,Exception,N
7,A group of boys in a yard is playing and a man is standing in the background,The young boys are playing outdoors and the man is smiling nearby,SICK,N,N,N,N,N,N,N,N
8,A group of children is playing in the house and there is no man standing in the background,The young boys are playing outdoors and the man is smiling nearby,SICK,N,N,N,N,N,Exception,Exception,N
9,The young boys are playing outdoors and the man is smiling nearby,A group of kids is playing in a yard and an old man is standing in the background,SICK,N,N,N,N,N,N,N,N
10,A brown dog is attacking another animal in front of the tall man in pants,A brown dog is attacking another animal in front of the man in pants,SICK,E,E,E,E,E,E,E,E
11,A brown dog is attacking another animal in front of the man in pants,A brown dog is helping another animal in front of the man in pants,SICK,N,N,N,N,N,N,N,N
12,Two dogs are fighting,Two dogs are wrestling and hugging,SICK,N,N,N,N,N,N,N,N
13,Two dogs are wrestling and hugging,There is no dog wrestling and hugging,SICK,C,C,C,N,C,N,N,N
14,A brown dog is attacking another animal in front of the man in pants,Two dogs are fighting,SICK,N,N,N,N,N,N,N,N
15,A brown dog is attacking another animal in front of the man in pants,There is no dog wrestling and hugging,SICK,N,N,N,N,N,N,N,N
16,Two dogs are wrestling and hugging,A brown dog is attacking another animal in front of the tall man in pants,SICK,N,N,N,N,N,N,N,N
17,Two dogs are wrestling and hugging,A brown dog is helping another animal in front of the man in pants,SICK,N,N,N,N,N,N,N,N
18,A brown dog is attacking another animal in front of the man in pants,Two dogs are wrestling and hugging,SICK,N,N,N,N,N,N,N,N
19,A person in a black jacket is doing tricks on a motorbike,A man in a black jacket is doing tricks on a motorbike,SICK,N,E,E,N,N,N,N,N
20,There is no man in a black jacket doing tricks on a motorbike,A person in a black jacket is doing tricks on a motorbike,SICK,C,C,C,N,C,N,N,N
21,A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket,SICK,N,C,N,N,E,N,N,N
22,A skilled person is riding a bicycle on one wheel,A person is riding the bicycle on one wheel,SICK,E,E,E,E,E,E,E,E
23,Nobody is riding the bicycle on one wheel,A person is riding the bicycle on one wheel,SICK,C,C,C,C,C,C,C,C
24,A person in a black jacket is doing tricks on a motorbike,A skilled person is riding a bicycle on one wheel,SICK,N,N,N,N,N,N,N,N
25,Nobody is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,SICK,N,N,N,N,Exception,N,N,N
26,A person is riding the bicycle on one wheel,A man in a black jacket is doing tricks on a motorbike,SICK,N,N,N,N,N,N,N,N
27,A person is riding the bicycle on one wheel,There is no man in a black jacket doing tricks on a motorbike,SICK,N,N,N,N,N,N,N,N
28,A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,SICK,N,N,N,N,N,N,N,N
29,A person is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,SICK,N,N,N,N,N,N,N,N
30,A man with a jersey is dunking the ball at a basketball game,The ball is being dunked by a man with a jersey at a basketball game,SICK,E,E,E,E,E,N,N,E
31,A man with a jersey is dunking the ball at a basketball game,There is no man dunking the ball at a basketball game,SICK,C,C,C,C,C,C,C,C
32,The game of basketball consists of a ball being dunked by a man with a jersey,A man with a jersey is dunking the ball at a basketball game,SICK,E,E,E,N,E,N,N,N
33,A man who is playing dunks the basketball into the net and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,SICK,E,E,E,N,N,N,N,N
34,The player is missing the basket and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,SICK,C,C,C,N,N,N,N,N
35,A man with a jersey is dunking the ball at a basketball game,A man who is playing dunks the basketball into the net and a crowd is in background,SICK,N,N,N,N,N,N,N,N
36,A man with a jersey is dunking the ball at a basketball game,The player is missing the basket and a crowd is in background,SICK,N,N,N,N,N,N,N,N
37,The player is dunking the basketball into the net and a crowd is in background,The ball is being dunked by a man with a jersey at a basketball game,SICK,N,N,N,N,N,N,N,N
38,There is no man dunking the ball at a basketball game,The player is dunking the basketball into the net and a crowd is in background,SICK,C,E,C,N,N,N,N,N
39,The game of basketball consists of a ball being dunked by a man with a jersey,The player is dunking the basketball into the net and a crowd is in background,SICK,N,N,N,N,N,N,N,N
40,The player is dunking the basketball into the net and a crowd is in background,A man with a jersey is dunking the ball at a basketball game,SICK,N,N,N,N,N,N,N,N
41,Two people are kickboxing and spectators are watching,Two people are fighting and spectators are watching,SICK,E,E,E,N,E,N,N,N
42,Two people are kickboxing and spectators are not watching,Two people are kickboxing and spectators are watching,SICK,C,C,C,C,C,C,C,C
43,Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching,SICK,N,N,N,N,N,N,N,N
44,Two young women are sparring in a kickboxing fight,Two women are sparring in a kickboxing match,SICK,E,E,E,N,N,N,N,E
45,Two young women are not sparring in a kickboxing fight,Two women are sparring in a kickboxing match,SICK,C,C,N,N,N,N,N,N
46,Two people are kickboxing and spectators are watching,Two young women are sparring in a kickboxing fight,SICK,N,N,N,N,N,N,N,N
47,Two people are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,SICK,N,N,N,N,N,N,N,N
48,Two women are sparring in a kickboxing match,Two people are fighting and spectators are watching,SICK,N,N,N,N,N,N,N,N
49,Two women are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,SICK,N,N,N,N,N,N,N,N
50,Two spectators are kickboxing and some people are watching,Two women are sparring in a kickboxing match,SICK,N,N,N,N,N,N,N,N
51,Two people are kickboxing and spectators are watching,Two women are sparring in a kickboxing match,SICK,N,N,N,N,N,N,N,N
52,Kids in red shirts are playing in the leaves,Children in red shirts are playing in the leaves,SICK,E,E,E,E,E,E,E,E
53,Children in red shirts are playing in the leaves,Children in red shirts are sleeping in the leaves,SICK,N,N,N,N,N,N,N,N
54,Children in red shirts are playing in the leaves,Children covered by leaves are playing with red shirts,SICK,N,N,N,N,E,N,N,N
55,Three boys are jumping in the leaves,Three kids are jumping in the leaves,SICK,E,E,E,N,N,E,E,E
56,Three kids are sitting in the leaves,Three kids are jumping in the leaves,SICK,C,C,N,N,N,N,N,N
57,Three boys are jumping in the leaves,Children in red shirts are playing in the leaves,SICK,N,N,N,N,N,N,N,N
58,Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,SICK,N,N,N,N,N,N,N,N
59,Kids in red shirts are playing in the leaves,Three kids are jumping in the leaves,SICK,N,N,N,N,N,N,N,N
60,Children in red shirts are sleeping in the leaves,Three kids are jumping in the leaves,SICK,N,N,N,N,N,N,N,N
61,Children covered by leaves are playing with red shirts,Three kids are jumping in the leaves,SICK,N,N,N,N,N,N,N,N
62,Children in red shirts are playing in the leaves,Three kids are jumping in the leaves,SICK,N,N,N,N,N,N,N,N
63,Two children are lying in the snow and are drawing angels,Two children are lying in the snow and are making snow angels,SICK,E,E,E,N,E,N,N,N
64,Two children are lying in the snow and are making snow angels,There is no child lying in the snow and making snow angels,SICK,C,C,C,N,C,C,C,C
65,Two angels are making snow on the lying children,Two children are lying in the snow and are making snow angels,SICK,N,N,N,N,N,N,N,N
66,Two people wearing snowsuits are on the ground making snow angels,Two people in snowsuits are lying in the snow and making snow angels,SICK,E,E,E,N,N,N,N,N
67,Two people in snowsuits are lying in the snow and making snow angels,Nobody in snowsuits is lying in the snow and making snow angels,SICK,C,C,C,N,N,C,C,C
68,Two children are lying in the snow and are making snow angels,Two people wearing snowsuits are on the ground making snow angels,SICK,N,N,N,N,N,N,N,N
69,Two children are lying in the snow and are making snow angels,Nobody in snowsuits is lying in the snow and making snow angels,SICK,N,N,C,N,C,N,N,N
70,Two children are lying in the snow and are drawing angels,Two people in snowsuits are lying in the snow and making snow angels,SICK,N,N,N,N,N,N,N,N
71,There is no child lying in the snow and making snow angels,Two people in snowsuits are lying in the snow and making snow angels,SICK,N,N,N,N,C,N,N,N
72,Two people in snowsuits are lying in the snow and making snow angels,Two angels are making snow on the lying children,SICK,N,N,N,N,N,N,N,N
73,Two children are lying in the snow and are making snow angels,Two people in snowsuits are lying in the snow and making snow angels,SICK,N,N,N,N,N,N,N,N
74,A little girl is looking at a woman in costume,A young girl is looking at a woman in costume,SICK,E,E,E,E,E,E,E,E
75,A little girl is looking at a woman in costume,The little girl is looking at a man in costume,SICK,C,C,N,C,C,N,N,N
76,A little girl is looking at a woman in costume,A little girl in costume looks like a woman,SICK,N,N,N,N,E,N,N,N
77,People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,SICK,N,N,E,N,N,N,N,N
78,People wearing costumes are gathering in a forest and are looking in the same direction,People wearing costumes are scattering in a forest and are looking in different directions,SICK,C,C,N,N,C,N,N,N
79,People are looking at some costumes gathered in the vicinity of the forest,People wearing costumes are gathering in a forest and are looking in the same direction,SICK,N,N,N,N,N,N,N,N
80,Masked people are looking in the same direction in a forest,A little girl is looking at a woman in costume,SICK,N,N,N,N,N,N,N,N
81,A little girl is looking at a woman in costume,People wearing costumes are scattering in a forest and are looking in different directions,SICK,N,N,N,N,N,N,N,N
82,A little girl is looking at a woman in costume,People are looking at some costumes gathered in the vicinity of the forest,SICK,N,N,N,N,N,N,N,N
83,A young girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,SICK,N,N,N,N,N,N,N,N
84,People wearing costumes are gathering in a forest and are looking in the same direction,The little girl is looking at a man in costume,SICK,N,N,N,N,N,N,N,N
85,People wearing costumes are gathering in a forest and are looking in the same direction,A little girl in costume looks like a woman,SICK,N,N,N,N,N,N,N,N
86,A little girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,SICK,N,N,N,N,N,N,N,N
87,A lone biker is jumping in the air,"A biker is jumping in the air, alone",SICK,E,E,E,N,E,N,N,N
88,There is no biker jumping in the air,A lone biker is jumping in the air,SICK,C,C,C,C,C,C,C,C
89,A man is jumping into an empty swimming pool,A man is jumping into an empty pool,SICK,E,E,E,E,E,E,E,E
90,A man is jumping into an empty pool,A man is jumping into a full pool,SICK,C,C,C,C,C,N,N,N
91,A man is jumping into an empty pool,The man's jumper is in the empty pool,SICK,N,N,N,N,N,N,N,N
92,A lone biker is jumping in the air,A man is jumping into an empty swimming pool,SICK,N,N,N,N,N,N,N,N
93,A lone biker is jumping in the air,A man is jumping into a full pool,SICK,N,N,N,N,N,N,N,N
94,The man's jumper is in the empty pool,A lone biker is jumping in the air,SICK,N,N,N,N,N,N,N,N
95,A man is jumping into an empty pool,"A biker is jumping in the air, alone",SICK,N,N,N,N,N,N,N,N
96,A man is jumping into an empty pool,There is no biker jumping in the air,SICK,N,N,N,N,N,N,N,N
97,A lone biker is jumping in the air,A man is jumping into an empty pool,SICK,N,N,N,N,N,N,N,N
98,Four kids are doing backbends in the park,Four children are doing backbends in the park,SICK,E,E,E,E,E,E,E,E
99,Four children are doing backbends in the gym,Four children are doing backbends in the park,SICK,C,C,N,N,E,N,N,N
